paper_id,title,pmid,doi,matched_pis,matched_centers,collection_route,year,paper_status,abstract_length,dataset_scan_status,resource_scan_status
pmid-42401593,Muscle macrophage regenerative response after squalene-adjuvanted influenza vaccination is associated with type II-skewed response and is reduced with age.,42401593,10.1038/s41541-026-01436-6,Michael Schotsaert,SYBIL,pi_author_backlog,2026,metadata_ingested,1111,pending,pending
pmid-42400144,Danish validation of the Alcohol Use Disorder Identification Test (AUDIT).,42400144,10.1177/14034948261457731,Kristian Andersen,CViSB,pi_author_backlog,2026,metadata_ingested,1899,pending,pending
pmid-42386990,A genome-scale CRISPRi perturbation atlas of human induced pluripotent stem cells.,42386990,10.1038/s41587-026-03199-w,Nevan Krogan;Trey Ideker,HPMI,pi_author_backlog,2026,metadata_ingested,1217,pending,pending
pmid-42386782,Mapping SARS-CoV-2 immunity after an XBB.1.5 booster by antigenic cartography of merged human and hamster sera.,42386782,10.1038/s41541-026-01516-7,Michael Schotsaert,SYBIL,pi_author_backlog,2026,metadata_ingested,1494,pending,pending
pmid-42384743,Artificial Intelligence for Discovery in Life Sciences.,42384743,10.1021/acs.bioconjchem.6c00230,Sumit Chanda,SYBIL,pi_author_backlog,2026,metadata_ingested,1191,pending,pending
pmid-42378814,Phase 1 trial of intranasal NDV-HXP-S in previously vaccinated adults.,42378814,10.1016/j.vaccine.2026.128870,Adolfo Garcia-Sastre,SYBIL,pi_author_backlog,2026,metadata_ingested,1642,pending,pending
pmid-42378517,How vaccine research took me on an international journey.,42378517,10.1080/21645515.2026.2684159,Michael Schotsaert,SYBIL,pi_author_backlog,2026,metadata_ingested,0,pending,pending
pmid-42377255,Lineage dynamics and risk factors underlying serotype 4 invasive pneumococcal disease in Spain.,42377255,10.1093/infdis/jiag326,Adolfo Garcia-Sastre;Michael Schotsaert,SYBIL,pi_author_backlog,2026,metadata_ingested,1248,pending,pending
pmid-42367836,"Ubiquitin Chloromethylketone Probe Enables Activity-based, Selective Protein Profiling of E2 Ubiquitin Conjugating Enzymes.",42367836,10.64898/2026.06.16.732757,Sumit Chanda,SYBIL,pi_author_backlog,2026,metadata_ingested,1504,pending,pending
pmid-42359563,Watch Me Play!: results of a feasibility study of a remotely delivered intervention to promote mental health resilience for children (age 0-8 years) across UK early years and children's services.,42359563,10.1192/bjo.2026.12028,Ryan McNamara,CViSB,pi_author_backlog,2026,metadata_ingested,1867,pending,pending
pmid-42335442,Prognostic Biomarker Signature of Relapse in Neuromyelitis Optica Spectrum Disorders in the CIRCLES Observational Study.,42335442,10.1212/NXI.0000000000200611,Michael Yeaman,UCLA-Persistent-BSI,pi_author_backlog,2026,metadata_ingested,2113,pending,pending
pmid-42327335,Secreted ORF8 reprograms macrophages to enhance SARS-CoV-2 infection of lung epithelial cells.,42327335,10.64898/2026.06.10.731427,Melanie Ott,HPMI,pi_author_backlog,2026,metadata_ingested,1647,pending,pending
pmid-42309287,Impaired glycoRNA biogenesis in metabolic-dysfunction associated steatotic liver disease.,42309287,10.1016/j.jhep.2026.04.034,Melanie Ott,HPMI,pi_author_backlog,2026,metadata_ingested,2517,pending,pending
pmid-42286248,Harmonization and integration of pharmacogenomics screens.,42286248,10.1093/bioinformatics/btag382,Trey Ideker,HPMI,pi_author_backlog,2026,metadata_ingested,1306,pending,pending
pmid-42282583,Thousandfold Expansion Microscopy.,42282583,10.64898/2026.05.31.729018,Sumit Chanda,SYBIL,pi_author_backlog,2026,metadata_ingested,1038,pending,pending
pmid-42282014,A proteogenomic RNA processing mechanism drives sex differences in meningioma.,42282014,10.21203/rs.3.rs-9675139/v1,Nevan Krogan;Danielle Swaney,HPMI,pi_author_backlog,2026,metadata_ingested,1487,pending,pending
pmid-42277855,Stigmatism among physicians and nurses towards patients with alcohol use disorder: a systematic review.,42277855,10.1186/s12913-026-14882-8,Kristian Andersen,CViSB,pi_author_backlog,2026,metadata_ingested,2053,pending,pending
pmid-42274369,"Price Burden, Psychological Wear-Out and Quit Behaviour: A Structural Analysis of Cigarette Consumption and Cessation Among Smokers in India.",42274369,10.1080/10826084.2026.2685625,Sumit Chanda,SYBIL,pi_author_backlog,2026,metadata_ingested,1562,pending,pending
pmid-42273960,Sodium Bicarbonate for In-Hospital Cardiac Arrest: A Randomized Clinical Trial.,42273960,10.1001/jama.2026.10628,Kristian Andersen,CViSB,pi_author_backlog,2026,metadata_ingested,2582,pending,pending
pmid-42269836,In vivo base editing alleviates hepatic iron accumulation and fibrosis in models of HFE-related hereditary hemochromatosis.,42269836,10.1016/j.jhep.2026.05.022,Melanie Ott,HPMI,pi_author_backlog,2026,metadata_ingested,2162,pending,pending
pmid-42253816,Cardiopulmonary resuscitation in donation after brain death donors aged ≥65 years: impact on outcomes after kidney transplantation - a multi-center study.,42253816,10.3389/ti.2026.16028,Melanie Ott,HPMI,pi_author_backlog,2026,metadata_ingested,1313,pending,pending
pmid-42253285,Spinal Implant-Associated Infection in Type 2 and Type 1 Diabetes: Phenotype-Specific Inflammatory Features and Therapeutic Response to Semaglutide.,42253285,10.1002/jsp2.70196,Michael Yeaman,UCLA-Persistent-BSI,pi_author_backlog,2026,metadata_ingested,1984,pending,pending
pmid-42252026,Myeloid-avid mammalian target of rapamycin-inhibiting nanobiologic attenuates allograft fibrosis after lung transplantation.,42252026,10.1016/j.ajt.2026.05.2303,Michael Schotsaert,SYBIL,pi_author_backlog,2026,metadata_ingested,1232,pending,pending
pmid-42251067,Rapid development and field evaluation of a portable CRISPR-based assay for Mpox during the 2025 Sierra Leone outbreak.,42251067,10.1038/s41467-026-74034-8,Donald S Grant,CViSB,pi_author_backlog,2026,metadata_ingested,1144,pending,pending
pmid-42249592,Compartmentalized cytokine networks and systemic immune remodelling in bovine mammary H5N1 infection.,42249592,10.1080/22221751.2026.2686469,Adolfo Garcia-Sastre,SYBIL,pi_author_backlog,2026,metadata_ingested,934,pending,pending
pmid-42244724,Zoonotic infections and genomic evolution of novel reassortant swine influenza A viruses in Spain.,42244724,10.64898/2026.05.22.724525,Adolfo Garcia-Sastre,SYBIL,pi_author_backlog,2026,metadata_ingested,1762,pending,pending
pmid-42244653,Substrate and target selectivity of 4'-fluoroadenosine against viral and host polymerases.,42244653,10.64898/2026.05.22.727251,Sumit Chanda,SYBIL,pi_author_backlog,2026,metadata_ingested,1467,pending,pending
pmid-42239335,Extending structural surfaceomics to identify aberrant conformations of tumor surface proteins as potential immunotherapy targets.,42239335,10.64898/2026.05.15.721813,Andrej Sali,HPMI,pi_author_backlog,2026,metadata_ingested,1635,pending,pending
pmid-42233671,Identification and characterization of a SARS-CoV-2 M(pro) G23 deletion ensitrelvir-resistant mutant.,42233671,10.1128/mbio.00584-26,Adolfo Garcia-Sastre,SYBIL,pi_author_backlog,2026,metadata_ingested,3011,pending,pending
pmid-42230995,"DREAM repressive activity links somatic mutation, lifespan and disease.",42230995,10.1038/s43587-026-01132-z,Trey Ideker,HPMI,pi_author_backlog,2026,metadata_ingested,1161,pending,pending
pmid-42214302,Association between total fluid volume and postoperative morbidity after cytoreductive surgery with hyperthermic intraperitoneal chemotherapy.,42214302,10.1016/j.jclinane.2026.112243,Melanie Ott,HPMI,pi_author_backlog,2026,metadata_ingested,2228,pending,pending
pmid-42204603,"AcTor, a novel mTOR stimulator, potentiates ixazomib for the treatment of acute myeloid leukemia.",42204603,10.1186/s12943-026-02689-4,Melanie Ott,HPMI,pi_author_backlog,2026,metadata_ingested,1830,pending,pending
pmid-42200562,Simplified Derivation of Stable Early Passage Murine Embryonic and Parthenogenetic Stem Cells.,42200562,10.1177/15473287261450907,Alan Hauser,SCRIPT,pi_author_backlog,2026,metadata_ingested,1858,pending,pending
pmid-42188872,A foundation model of cancer genotype enables precise predictions of therapeutic response.,42188872,10.1158/2159-8290.CD-25-1735,Trey Ideker,HPMI,pi_author_backlog,2026,metadata_ingested,982,pending,pending
pmid-42179337,Integrating Global Public Health Intelligence - Thematic Analysis from WES Synthesis 2025.,42179337,,Kristian Andersen,CViSB,pi_author_backlog,2026,metadata_ingested,1619,pending,pending
pmid-42158426,The NFIA::CBFA2T3 identifies a molecularly defined subgroup of acute erythroid leukemia/erythroid sarcoma.,42158426,10.3389/fonc.2026.1809156,Kristian Andersen,CViSB,pi_author_backlog,2026,metadata_ingested,1613,pending,pending
pmid-42158352,Tuberculosis preventive therapy in Sierra Leone: early implementation gaps and lessons learned.,42158352,10.5588/pha.26.0005,Donald S Grant,CViSB,pi_author_backlog,2026,metadata_ingested,764,pending,pending
pmid-42150007,Self-Dimerization Induced Proximity Targeting Chimeras (SDIPTAC) Lead to DCAF1 Loss of Function and Inhibition of HIV Replication.,42150007,10.1021/acs.jmedchem.6c00126,Melanie Ott,HPMI,pi_author_backlog,2026,metadata_ingested,1102,pending,pending
pmid-42149940,Characterization of the first complete genome sequence of yellow fever virus (YFV) in Sierra Leone: Implications for public health.,42149940,10.1371/journal.pntd.0014354,Donald S Grant,CViSB,pi_author_backlog,2026,metadata_ingested,1231,pending,pending
pmid-42141216,Dynamic uterine microenvironment drives endometrial adenocarcinoma carcinogenesis and progression.,42141216,10.1038/s42003-026-10185-0,Kristian Andersen,CViSB,pi_author_backlog,2026,metadata_ingested,1548,pending,pending
pmid-42129262,UveAI: clinic-ready scoring of retinal inflammation in uveitis on widefield fluorescein angiography using AI.,42129262,10.1038/s41598-026-46069-w,Melanie Ott,HPMI,pi_author_backlog,2026,metadata_ingested,1174,pending,pending
pmid-42120729,Genomic epidemiology of the 2025 mpox epidemic in Sierra Leone.,42120729,10.1038/s41591-026-04385-8,Donald S Grant,CViSB,pi_author_backlog,2026,metadata_ingested,1151,pending,pending
pmid-42108747,Exploring Medication Adherence in Heart Failure From a Patient Perspective: A Qualitative Study.,42108747,10.1161/CIRCHEARTFAILURE.125.014133,Kristian Andersen,CViSB,pi_author_backlog,2026,metadata_ingested,1968,pending,pending
pmid-42099631,Skeletal muscle as a dynamic immunological niche for vaccination.,42099631,10.3389/fimmu.2026.1808541,Michael Schotsaert,SYBIL,pi_author_backlog,2026,metadata_ingested,1082,pending,pending
pmid-42093108,Widespread SARS-CoV-2 Transmission Despite Limited Reported Cases and Clinical Disease: Exploring the Role of Pre-Existing Humoral Immunity to SARS-CoV-2 in Eastern Sierra Leone.,42093108,10.1002/iid3.70463,Donald S Grant,CViSB,pi_author_backlog,2026,metadata_ingested,1871,pending,pending
pmid-42084370,A cocktail of SARS-CoV-2 S stem helix domain and receptor binding domain human monoclonal antibodies prevents the emergence of viral escape mutants.,42084370,10.1128/spectrum.00006-26,Adolfo Garcia-Sastre,SYBIL,pi_author_backlog,2026,metadata_ingested,2678,pending,pending
pmid-42078883,"AcTor, a novel mTOR stimulator, potentiates ixazomib for the treatment of acute myeloid leukemia.",42078883,10.21203/rs.3.rs-9405584/v1,Melanie Ott,HPMI,pi_author_backlog,2026,metadata_ingested,1830,pending,pending
pmid-42076139,Industrial Perspective on the Manufacturing of Lipid Nanoparticles for Nucleic Acid Delivery.,42076139,10.3390/pharmaceutics18040489,Melanie Ott,HPMI,pi_author_backlog,2026,metadata_ingested,1792,pending,pending
pmid-42069582,Bridging systems and selves: a qualitative exploration of peer navigation as a developmentally tailored engagement strategy for adolescent HIV services.,42069582,10.1186/s12913-026-14659-z,Melanie Ott,HPMI,pi_author_backlog,2026,metadata_ingested,3164,pending,pending
pmid-42067193,Repurposing drug screen for the identification of helicase inhibitors from viruses of pandemic concern.,42067193,10.1016/j.slasd.2026.100311,Melanie Ott,HPMI,pi_author_backlog,2026,metadata_ingested,1572,pending,pending
pmid-42063971,A unifying theory of brain signaling and its possible role in acquired chronic disease.,42063971,10.3389/fnins.2026.1683413,Sumit Chanda,SYBIL,pi_author_backlog,2026,metadata_ingested,1197,pending,pending
pmid-42057176,Non-canonical STING activation by calcium influx paired to endoplasmic reticulum stress.,42057176,10.1186/s12964-026-02819-x,Adolfo Garcia-Sastre,SYBIL,pi_author_backlog,2026,metadata_ingested,2055,pending,pending
pmid-42056084,NAE1/UBA3-UBE2M are E1 and E2 enzymes for the URM1 modification.,42056084,10.1038/s41467-026-72296-w,Sumit Chanda,SYBIL,pi_author_backlog,2026,metadata_ingested,1419,pending,pending
pmid-42043310,'The Open Door' and emergency mental health crisis care in Ireland: meeting people where they are.,42043310,,Ryan McNamara,CViSB,pi_author_backlog,2026,metadata_ingested,0,pending,pending
pmid-42041295,Virulence Phenotypes Differentiate Persistent vs. Resolving Isolates of Human Staphylococcus aureus Bacteremia.,42041295,10.3390/antibiotics15040332,Michael Yeaman,UCLA-Persistent-BSI,pi_author_backlog,2026,metadata_ingested,1534,pending,pending
pmid-42029389,Rapid fabrication of solvent-compatible NOA 81 microfluidic devices for double-emulsion microfluidics.,42029389,10.1039/d6lc00045b,Robert Garry,CViSB,pi_author_backlog,2026,metadata_ingested,1471,pending,pending
pmid-42023177,"Efficacy of Metronomic Oral Capecitabine, Methotrexate and Cyclophosphamide in Locally Advanced Operable Oral Cavity Squamous Cell Carcinoma - A Phase II Study.",42023177,10.1007/s13193-026-02596-6,Sumit Chanda,SYBIL,pi_author_backlog,2026,metadata_ingested,1729,pending,pending
pmid-42014734,Mitochondrial respirasome-like supercomplexes support metabolic flexibility in yeast.,42014734,10.1038/s41467-026-72228-8,Melanie Ott,HPMI,pi_author_backlog,2026,metadata_ingested,1147,pending,pending
pmid-42013838,Systematic discovery of pro- and anti-HIV host factors in primary human CD4+ T cells.,42013838,10.1016/j.cell.2026.03.046,Andrej Sali,HPMI,pi_author_backlog,2026,metadata_ingested,1122,pending,pending
pmid-42012179,Re-engineering segment 8 facilitates generation of a versatile live-attenuated influenza A virus vector platform for secretory protein delivery.,42012179,10.1128/jvi.00347-26,Adolfo Garcia-Sastre,SYBIL,pi_author_backlog,2026,metadata_ingested,2568,pending,pending
