paper_id,pmid,year,title,abstract_excerpt,collection_route,center,pi_candidates,pathogens,viruses,assay_types,paper_kind,cross_virus_relevance,cross_virus_reason,priority,priority_reason,review_status,notes
pmid-37758692,37758692,2023,Proteomic and genetic analyses of influenza A viruses identify pan-viral host targets.,Influenza A Virus (IAV) is a recurring respiratory virus with limited availability of antiviral therapies. Understanding host proteins essential for IAV infection can identify targets for alternative host-directed therapies (HDTs). Using affinity purification-mass spectrometry...,hpmi_grant_query,HPMI,,,sars-cov-2;sars-cov;coronavirus;influenza,protein_interaction_mapping;proteomics,data_or_analysis,high,explicit cross-virus/shared-host language: pan-viral,medium,"older HPMI paper with relevant terms: virus, viral, sars, cov, influenza",pending,
pmid-37738983,37738983,2023,Impact of SARS-CoV-2 ORF6 and its variant polymorphisms on host responses and viral pathogenesis.,"Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) encodes several proteins that inhibit host interferon responses. Among these, ORF6 antagonizes interferon signaling by disrupting nucleocytoplasmic trafficking through interactions with the nuclear pore complex compo...",hpmi_grant_query,HPMI,,,sars-cov-2;sars-cov;coronavirus,,primary_research,candidate,"relevant host-pathogen/pathway terms matched: viral, proteome",medium,"older HPMI paper with relevant terms: viral, sars, cov",pending,
pmid-37738970,37738970,2023,SARS-CoV-2 variants evolve convergent strategies to remodel the host response.,"SARS-CoV-2 variants of concern (VOCs) emerged during the COVID-19 pandemic. Here, we used unbiased systems approaches to study the host-selective forces driving VOC evolution. We discovered that VOCs evolved convergent strategies to remodel the host by modulating viral RNA and...",hpmi_grant_query,HPMI,,,sars-cov-2;sars-cov,protein_interaction_mapping;proteomics,primary_research,candidate,"relevant host-pathogen/pathway terms matched: virus, viral, interaction",medium,"older HPMI paper with relevant terms: virus, viral, sars, cov",pending,
pmid-37651466,37651466,2023,A single inactivating amino acid change in the SARS-CoV-2 NSP3 Mac1 domain attenuates viral replication in vivo.,"Despite unprecedented efforts, our therapeutic arsenal against SARS-CoV-2 remains limited. The conserved macrodomain 1 (Mac1) in NSP3 is an enzyme exhibiting ADP-ribosylhydrolase activity and a possible drug target. To determine the role of Mac1 catalytic activity in viral rep...",hpmi_grant_query,HPMI,,,sars-cov-2;sars-cov,,primary_research,candidate,"relevant host-pathogen/pathway terms matched: virus, viral",medium,"older HPMI paper with relevant terms: virus, viral, sars, cov",pending,
pmid-37577546,37577546,2023,Cross-family small GTPase ubiquitination by the intracellular pathogen Legionella pneumophila.,The intracellular bacterial pathogen Legionella pneumophila (L.p.) manipulates eukaryotic host ubiquitination machinery to form its replicative vacuole. While nearly 10% of L.p.'s arsenal of ~330 secreted effector proteins have been biochemically characterized as ubiquitin lig...,hpmi_grant_query,HPMI,,legionella_pneumophila,,,primary_research,candidate,relevant host-pathogen/pathway terms matched: proteome,low,no strong HPMI literature-priority keywords matched,pending,
pmid-37352334,37352334,2023,"Deficiency in Galectin-3, -8, and -9 impairs immunity to chronic Mycobacterium tuberculosis infection but not acute infection with multiple intracellular pathogens.","Macrophages employ an array of pattern recognition receptors to detect and eliminate intracellular pathogens that access the cytosol. The cytosolic carbohydrate sensors Galectin-3, -8, and -9 (Gal-3, Gal-8, and Gal-9) recognize damaged pathogen-containing phagosomes, and Gal-3...",hpmi_grant_query,HPMI,,mycobacterium_tuberculosis,influenza,,primary_research,candidate,"relevant host-pathogen/pathway terms matched: tuberculosis, mycobacterium",medium,"older HPMI paper with relevant terms: tuberculosis, mycobacterium",pending,
pmid-37213254,37213254,2023,Current proteomics methods applicable to dissecting the DNA damage response.,"The DNA damage response (DDR) entails reorganization of proteins and protein complexes involved in DNA repair. The coordinated regulation of these proteomic changes maintains genome stability. Traditionally, regulators and mediators of DDR have been investigated individually....",hpmi_grant_query,HPMI,,,,protein_interaction_mapping;proteomics;structural_biology,review,unknown,no explicit cross-virus or strong host-mechanism terms matched,low,no strong HPMI literature-priority keywords matched,pending,
pmid-37037941,37037941,2023,Autophagy restricts Mycobacterium tuberculosis during acute infection in mice.,"Whether or not autophagy has a role in defence against Mycobacterium tuberculosis infection remains unresolved. Previously, conditional knockdown of the core autophagy component ATG5 in myeloid cells was reported to confer extreme susceptibility to M. tuberculosis in mice, whe...",hpmi_grant_query,HPMI,,mycobacterium_tuberculosis,,,primary_research,candidate,"relevant host-pathogen/pathway terms matched: tuberculosis, mycobacterium",medium,"older HPMI paper with relevant terms: tuberculosis, mycobacterium",pending,
pmid-36782050,36782050,2023,Structure and dynamics of the essential endogenous mycobacterial polyketide synthase Pks13.,"The mycolic acid layer of the Mycobacterium tuberculosis cell wall is essential for viability and virulence, and the enzymes responsible for its synthesis are targets for antimycobacterial drug development. Polyketide synthase 13 (Pks13) is a module encoding several enzymatic...",hpmi_grant_query,HPMI,,mycobacterium_tuberculosis,,proteomics;structural_biology,primary_research,candidate,"relevant host-pathogen/pathway terms matched: pathway, tuberculosis, mycobacterium",medium,"older HPMI paper with relevant terms: tuberculosis, mycobacterium",pending,
pmid-35298864,35298864,2023,Integrative structure determination of histones H3 and H4 using genetic interactions.,"Integrative structure modeling is increasingly used for determining the architectures of biological assemblies, especially those that are structurally heterogeneous. Recently, we reported on how to convert in vivo genetic interaction measurements into spatial restraints for st...",hpmi_grant_query,HPMI,,,,structural_biology;genome_editing,methods,candidate,"relevant host-pathogen/pathway terms matched: host-pathogen, interaction, crispr",medium,older HPMI paper with relevant terms: host-pathogen,pending,
pmid-36075902,36075902,2022,Structure-function analysis of enterovirus protease 2A in complex with its essential host factor SETD3.,Enteroviruses cause a number of medically relevant and widespread human diseases with no approved antiviral therapies currently available. Host-directed therapies present an enticing option for this diverse genus of viruses. We have previously identified the actin histidine me...,hpmi_grant_query,HPMI,,,enterovirus,structural_biology,primary_research,candidate,"relevant host-pathogen/pathway terms matched: viral, interaction, host factor",medium,older HPMI paper with relevant terms: viral,pending,
pmid-35982664,35982664,2022,NF-κB inhibitor alpha has a cross-variant role during SARS-CoV-2 infection in ACE2-overexpressing human airway organoids.,"As SARS-CoV-2 continues to spread worldwide, tractable primary airway cell models that accurately recapitulate the cell-intrinsic response to arising viral variants are needed. Here we describe an adult stem cell-derived human airway organoid model overexpressing the ACE2 rece...",hpmi_grant_query,HPMI,,,sars-cov-2;sars-cov,transcriptomics,data_or_analysis,candidate,relevant host-pathogen/pathway terms matched: viral,medium,"older HPMI paper with relevant terms: viral, sars, cov",pending,
pmid-35877763,35877763,2022,IFN-γ-independent control of M. tuberculosis requires CD4 T cell-derived GM-CSF and activation of HIF-1α.,The prevailing model of protective immunity to tuberculosis is that CD4 T cells produce the cytokine IFN-γ to activate bactericidal mechanisms in infected macrophages. Although IFN-γ-independent CD4 T cell based control of M. tuberculosis infection has been demonstrated in viv...,hpmi_grant_query,HPMI,,mycobacterium_tuberculosis,,,primary_research,candidate,relevant host-pathogen/pathway terms matched: tuberculosis,medium,older HPMI paper with relevant terms: tuberculosis,pending,
pmid-35417684,35417684,2022,Global post-translational modification profiling of HIV-1-infected cells reveals mechanisms of host cellular pathway remodeling.,"Viruses must effectively remodel host cellular pathways to replicate and evade immune defenses, and they must do so with limited genomic coding capacity. Targeting post-translational modification (PTM) pathways provides a mechanism by which viruses can broadly and rapidly tran...",hpmi_grant_query,HPMI,,,hiv,proteomics,data_or_analysis,candidate,relevant host-pathogen/pathway terms matched: pathway,low,no strong HPMI literature-priority keywords matched,pending,
pmid-35337019,35337019,2022,A BioID-Derived Proximity Interactome for SARS-CoV-2 Proteins.,The novel coronavirus SARS-CoV-2 is responsible for the ongoing COVID-19 pandemic and has caused a major health and economic burden worldwide. Understanding how SARS-CoV-2 viral proteins behave in host cells can reveal underlying mechanisms of pathogenesis and assist in develo...,hpmi_grant_query,HPMI,,,sars-cov-2;sars-cov;coronavirus,protein_interaction_mapping;proteomics,data_or_analysis,candidate,"relevant host-pathogen/pathway terms matched: virus, viral, interactome",medium,"older HPMI paper with relevant terms: virus, viral, sars, cov",pending,
