paper_id,pmid,source_collection,parse_source_type,pdf_path,xml_path,normalized_json_path,parse_status,section_count,body_word_count,parser_warnings
pmid-32065600,32065600,current-program,pmc_xml,papers/fulltext/inventory/oa/pmid-32065600.pdf,papers/fulltext/parsed/pmc_xml/PMC7042845.xml,papers/fulltext/parsed/normalized/32065600.json,cached_normalized,16,3086,
pmid-31714898,31714898,current-program,pmc_xml,papers/fulltext/inventory/oa/pmid-31714898.pdf,papers/fulltext/parsed/pmc_xml/PMC7269564.xml,papers/fulltext/parsed/normalized/31714898.json,cached_normalized,0,0,PMC XML body missing.
pmid-31921042,31921042,pi-backlog,pmc_xml,papers/fulltext/inventory/oa/pmid-31921042.pdf,papers/fulltext/parsed/pmc_xml/PMC6927920.xml,papers/fulltext/parsed/normalized/31921042.json,cached_normalized,20,7688,
pmid-31851929,31851929,pi-backlog,pmc_xml,papers/fulltext/inventory/oa/pmid-31851929.pdf,papers/fulltext/parsed/pmc_xml/PMC7010214.xml,papers/fulltext/parsed/normalized/31851929.json,cached_normalized,17,6120,
pmid-31697957,31697957,pi-backlog,pmc_xml,papers/fulltext/inventory/oa/pmid-31697957.pdf,papers/fulltext/parsed/pmc_xml/PMC7127664.xml,papers/fulltext/parsed/normalized/31697957.json,cached_normalized,13,9100,
pmid-31682641,31682641,pi-backlog,pmc_xml,papers/fulltext/inventory/oa/pmid-31682641.pdf,papers/fulltext/parsed/pmc_xml/PMC6932815.xml,papers/fulltext/parsed/normalized/31682641.json,cached_normalized,30,11030,
pmid-31603272,31603272,pi-backlog,pmc_xml,papers/fulltext/inventory/oa/pmid-31603272.pdf,papers/fulltext/parsed/pmc_xml/PMC6831997.xml,papers/fulltext/parsed/normalized/31603272.json,cached_normalized,0,0,PMC XML body missing.
pmid-31424151,31424151,pi-backlog,pmc_xml,papers/fulltext/inventory/oa/pmid-31424151.pdf,papers/fulltext/parsed/pmc_xml/PMC7162324.xml,papers/fulltext/parsed/normalized/31424151.json,cached_normalized,0,0,PMC XML body missing.
pmid-31375585,31375585,pi-backlog,pmc_xml,papers/fulltext/inventory/oa/pmid-31375585.pdf,papers/fulltext/parsed/pmc_xml/PMC6798124.xml,papers/fulltext/parsed/normalized/31375585.json,cached_normalized,17,8184,
pmid-31161074,31161074,pi-backlog,pmc_xml,papers/fulltext/inventory/oa/pmid-31161074.pdf,papers/fulltext/parsed/pmc_xml/PMC6542082.xml,papers/fulltext/parsed/normalized/31161074.json,cached_normalized,5,2416,
pmid-31043530,31043530,pi-backlog,pmc_xml,papers/fulltext/inventory/oa/pmid-31043530.pdf,papers/fulltext/parsed/pmc_xml/PMC6600188.xml,papers/fulltext/parsed/normalized/31043530.json,cached_normalized,0,0,PMC XML body missing.
pmid-31015836,31015836,pi-backlog,pmc_xml,papers/fulltext/inventory/oa/pmid-31015836.pdf,papers/fulltext/parsed/pmc_xml/PMC6444269.xml,papers/fulltext/parsed/normalized/31015836.json,cached_normalized,15,4467,
pmid-30716099,30716099,pi-backlog,pmc_xml,papers/fulltext/inventory/oa/pmid-30716099.pdf,papers/fulltext/parsed/pmc_xml/PMC6361451.xml,papers/fulltext/parsed/normalized/30716099.json,cached_normalized,24,5750,
pmid-30626682,30626682,pi-backlog,pmc_xml,papers/fulltext/inventory/oa/pmid-30626682.pdf,papers/fulltext/parsed/pmc_xml/PMC6401450.xml,papers/fulltext/parsed/normalized/30626682.json,cached_normalized,0,0,PMC XML body missing.
pmid-30463968,30463968,pi-backlog,pmc_xml,papers/fulltext/inventory/oa/pmid-30463968.pdf,papers/fulltext/parsed/pmc_xml/PMC6363987.xml,papers/fulltext/parsed/normalized/30463968.json,cached_normalized,0,0,PMC XML body missing.
pmid-31886769,31886769,hpmi,pmc_xml,papers/fulltext/inventory/oa/pmid-31886769.pdf,papers/fulltext/parsed/pmc_xml/PMC6986878.xml,papers/fulltext/parsed/normalized/31886769.json,cached_normalized,18,6021,
pmid-31540829,31540829,hpmi,pmc_xml,papers/fulltext/inventory/oa/pmid-31540829.pdf,papers/fulltext/parsed/pmc_xml/PMC6800164.xml,papers/fulltext/parsed/normalized/31540829.json,cached_normalized,25,8550,
pmid-31359007,31359007,hpmi,pmc_xml,papers/fulltext/inventory/oa/pmid-31359007.pdf,papers/fulltext/parsed/pmc_xml/PMC7388783.xml,papers/fulltext/parsed/normalized/31359007.json,cached_normalized,10,2571,
pmid-31253590,31253590,hpmi,pmc_xml,papers/fulltext/inventory/oa/pmid-31253590.pdf,papers/fulltext/parsed/pmc_xml/PMC7153695.xml,papers/fulltext/parsed/normalized/31253590.json,cached_normalized,30,9434,
pmid-31239378,31239378,hpmi,pmc_xml,papers/fulltext/inventory/oa/pmid-31239378.pdf,papers/fulltext/parsed/pmc_xml/PMC6593404.xml,papers/fulltext/parsed/normalized/31239378.json,cached_normalized,19,6002,
pmid-31204998,31204998,hpmi,pmc_xml,papers/fulltext/inventory/oa/pmid-31204998.pdf,papers/fulltext/parsed/pmc_xml/PMC6579556.xml,papers/fulltext/parsed/normalized/31204998.json,cached_normalized,11,1741,
pmid-30833725,30833725,hpmi,pmc_xml,papers/fulltext/inventory/oa/pmid-30833725.pdf,papers/fulltext/parsed/pmc_xml/PMC6533143.xml,papers/fulltext/parsed/normalized/30833725.json,cached_normalized,25,6196,
pmid-31720009,31720009,current-program,pmc_xml,papers/fulltext/inventory/oa/pmid-31720009.pdf,papers/fulltext/parsed/pmc_xml/PMC6830409.xml,papers/fulltext/parsed/normalized/31720009.json,cached_normalized,8,5753,
pmid-31668726,31668726,current-program,pmc_xml,papers/fulltext/inventory/oa/pmid-31668726.pdf,papers/fulltext/parsed/pmc_xml/PMC6924620.xml,papers/fulltext/parsed/normalized/31668726.json,cached_normalized,10,3100,
